0.0.0.0,0.255.255.255,ZZ,ZZ,,,,,0,0,0,,,,"Current network",,,"RFC 6890"
1.0.0.0,1.0.0.255,OC,AU,Queensland,Brisbane,"South Brisbane",4101,-27.4748,153.017,2207259,10,Australia/Brisbane,ASXX0871,"APNIC Research and Development",13335,,
1.0.1.0,1.0.3.255,AS,CN,Fujian,,Qingzhou,,26.4837,117.925,1797604,8,Asia/Shanghai,CHXX0573,CHINANET-FJ,,,"Chinanet FJ"
1.0.4.0,1.0.7.255,OC,AU,Victoria,Casey,"Narre Warren",3805,-38.0267,145.301,2155718,11,Australia/Melbourne,ASXX8447,"Wirefreebroadband Pty Ltd",38803,,"Wirefreebroadband Pty Ltd"
1.0.8.0,1.0.15.255,AS,CN,Guangdong,"Guangzhou Shi","Guangzhou Shi",,23.379,113.763,1809857,8,Asia/Shanghai,CHXX0037,CHINANET-GD,,,"Chinanet GD"
1.0.16.0,1.0.16.255,AS,JP,Tokyo,Shinjuku,Shinjuku,,35.6978,139.706,1852083,9,Asia/Tokyo,JAXX5038,I2TS-MTK,2519,,"I2ts, inc."
1.0.17.0,1.0.31.255,AS,JP,Tokyo,Shinjuku,Shinjuku,,35.6978,139.706,1852083,9,Asia/Tokyo,JAXX5038,i2ts,,,"I2ts, inc."
1.0.32.0,1.0.63.255,AS,CN,Guangdong,"Guangzhou Shi","Guangzhou Shi",,23.379,113.763,1809857,8,Asia/Shanghai,CHXX0037,CHINANET-GD,,,"Chinanet GD"
1.0.64.0,1.0.64.255,AS,JP,Hiroshima,Hatsukaichi-shi,Hatsukaichi,,34.35,132.333,1863018,9,Asia/Tokyo,JAXX0163,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.65.0,1.0.66.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.67.0,1.0.67.255,AS,JP,Hiroshima,Hiroshima,Hiroshima,,34.4,132.45,1862415,9,Asia/Tokyo,JAXX0018,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.68.0,1.0.68.127,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.68.128,1.0.68.191,AS,JP,Hiroshima,Hatsukaichi-shi,Miyajima,,34.2991,132.322,1856798,9,Asia/Tokyo,JAXX1134,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.68.192,1.0.70.255,AS,JP,Hiroshima,Hiroshima,Hiroshima,,34.4,132.45,1862415,9,Asia/Tokyo,JAXX0018,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.71.0,1.0.72.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.73.0,1.0.73.127,AS,JP,Hiroshima,Hatsukaichi-shi,Miyajima,,34.2991,132.322,1856798,9,Asia/Tokyo,JAXX1134,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.73.128,1.0.75.31,AS,JP,Hiroshima,Hiroshima,Hiroshima,,34.4,132.45,1862415,9,Asia/Tokyo,JAXX0018,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.75.32,1.0.75.63,AS,JP,Hiroshima,Hatsukaichi-shi,Miyajima,,34.2991,132.322,1856798,9,Asia/Tokyo,JAXX1134,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.75.64,1.0.75.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.76.0,1.0.76.63,AS,JP,Hiroshima,Hatsukaichi-shi,Hatsukaichi,,34.35,132.333,1863018,9,Asia/Tokyo,JAXX0163,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.76.64,1.0.76.127,AS,JP,Hiroshima,Hatsukaichi-shi,Miyajima,,34.2991,132.322,1856798,9,Asia/Tokyo,JAXX1134,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.76.128,1.0.77.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.78.0,1.0.79.255,AS,JP,Hiroshima,Hiroshima,Hiroshima,,34.4,132.45,1862415,9,Asia/Tokyo,JAXX0018,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.80.0,1.0.80.127,AS,JP,Tottori,Kurayoshi-shi,Kurayoshi,,35.4333,133.817,1858301,9,Asia/Tokyo,JAXX1026,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.80.128,1.0.80.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.81.0,1.0.81.223,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.81.224,1.0.81.225,AS,JP,Tottori,"Yonago Shi",Yonago,,35.4333,133.333,1848277,9,Asia/Tokyo,JAXX0115,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.81.226,1.0.81.227,AS,JP,Tottori,Tottori-shi,Tottori-shi,,35.5,134.233,1849892,9,Asia/Tokyo,JAXX0122,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.81.228,1.0.82.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.83.0,1.0.83.255,AS,JP,Tottori,Kurayoshi-shi,Kurayoshi,,35.4333,133.817,1858301,9,Asia/Tokyo,JAXX1026,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.84.0,1.0.85.127,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.85.128,1.0.85.191,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.85.192,1.0.85.255,AS,JP,Shimane,"Yasugi Shi",Yasugi,,35.3361,133.184,11612572,9,Asia/Tokyo,JAXX1791,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.86.0,1.0.87.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.88.0,1.0.88.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.89.0,1.0.90.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.91.0,1.0.91.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.92.0,1.0.92.127,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
